Population by GN division and age|||||||||Census of Population and Housing 2012|||||||||||||
|GN|||||||||||Age group||||||||||
KelesiyambalewaGalmaduwa|380378|1,390926|13154|9879|12261|10368|9972|9876|10569|11376|11875|10666|9476|5349|5540|3122|2121|2514|95|62|31|00
IhalagamaKeledivulwewa|382379|1,1891,118|10182|9088|9172|10079|9278|10477|10886|9075|6783|7889|6189|6885|5964|2428|2420|158|107|22|23|33
Katiyawa Track 06Thirappane|383|2,06427,044|1902,653|1962,289|1631,926|1902,112|1561,992|1292,063|1692,520|1642,041|1451,853|1601,744|1291,702|1071,490|741,108|38574|22406|17337|9149|251|222|212
KaruwalagaswewaGalkulama|527526|424672|3657|3056|2839|3543|3357|4138|4267|2765|2243|2655|3341|2348|2329|1212|512|56|33|00|01|00
GnanikkulamaPerimiyankulama|528529|745392|7030|6323|4342|7136|5227|6427|7431|6413|5323|3129|5130|4027|2625|189|1310|82|24|03|21|00
WannamkulamaUttimaduwa|521520|305485|3736|2140|1930|2339|2141|3637|2131|1132|2531|1845|2940|1927|825|57|24|1012|05|02|01|00
DematawewaPairimaduwa|525524|332744|2372|2463|2850|3059|2352|2054|2166|2957|2347|2751|2057|2435|1626|919|710|418|46|02|00|00
KuttikulamaPuliyankulama|530531|875783|8675|8964|5154|6866|5662|6462|9074|6168|6063|5937|4637|4643|3533|2320|217|1210|47|30|11|00
MawathawewaPeriyakulama|522523|443417|4542|3534|3129|3530|3639|4034|4047|3530|2820|2724|3224|2124|715|911|117|27|50|40|00|00
Ethungama SouthMeewellewa|552553|827985|88111|6482|4968|7074|5572|8483|67116|5184|5169|5750|6554|4846|3135|2215|1011|89|42|20|11|03
Ethungama NorthAluth Punchikulama|551534|944782|9990|8180|6255|7757|8750|7069|8190|6450|5349|7653|6047|5638|3725|1511|66|149|42|10|11|00
WannammaduwaThirappane Kadaweediya|549532|787754|8971|6176|5354|6069|7654|5458|8685|6176|5056|4144|4140|4823|3623|1411|83|66|24|11|00|00
ThirappanegamaSembukulama|533550|697750|6384|5171|4548|4664|6052|6654|9970|5060|4461|4037|3542|2742|3527|1018|99|97|32|21|21|10
WellamudawaSelesthimaduwa|539537|672919|6190|6180|4684|3257|3658|4362|6674|4670|4584|5354|5855|4350|4235|1232|721|99|82|22|20|00
IdigahawewaPaindikulama|547554|435680|3352|3352|2847|2569|4054|2042|4254|3342|4259|2347|3456|3235|1824|1313|517|710|44|00|11|22
WalagambahuwaMahakanumulla|562540|484385|3031|3928|3130|4433|3432|1723|3525|3834|4828|3330|3526|3320|2324|156|1310|113|40|12|00|00
AlisthanaDayagama|548563|1,071266|10827|9021|9014|8111|7810|8032|9027|9621|7616|7015|5618|5520|4723|213|125|122|71|10|00|10
Wanamal UyanaManakkulama|561541|1,289558|11057|10337|9533|9341|11046|10043|11543|8049|8325|9034|8551|7538|6420|2716|268|219|74|23|30|01
Pethis RambewaKattamurichchana|542546|659790|7898|5958|4248|5647|4060|4260|6982|4762|4954|4152|3238|4443|3225|925|519|711|37|31|00|10
KandupagamaLabunoruwa|556555|518913|4980|4790|4561|3386|2755|3761|4675|5377|3965|2867|3360|2651|2231|1115|1114|514|49|22|00|00
Pahala Ambathale Ihala Ambathale|557545|291934|2598|1896|2661|1773|2469|2486|18103|1962|1647|1655|1951|2058|2136|720|66|84|46|32|00|01
AlagollewaMuriyakadawala|543544|694468|5851|6029|6228|5752|5230|5335|5941|4032|4640|5236|3528|4124|3114|1911|139|128|20|10|10|00
AmunichchiyaSandapagama|558559|469620|4375|3664|3457|5148|3048|2958|4453|4345|3537|2740|2639|2027|2217|116|73|60|43|10|00|00
UttupitiyaKekirawa|560|78659,241|955,781|805,186|864,732|544,699|544,256|614,679|615,222|644,451|483,978|543,804|433,645|303,067|202,481|121,289|18863|5535|0305|1129|057|082
NavakkulamaMoragoda|605606|957806|10279|9168|6855|6663|5548|7681|9462|7257|7760|5354|5556|5751|3336|2617|128|157|13|10|11|20
Mahadivulwewa|608|579|48|34|38|32|40|49|62|43|44|34|49|42|27|11|16|4|4|1|1|0
KeeriyagaswewaIhala Puliyankulama|607616|4671,378|42170|32154|21134|2293|4475|4787|63117|33105|22103|2988|2488|2849|2551|1223|1021|610|56|22|01|01
KelepuliyankulamaMaradankadawala|615617|7663,066|67295|44302|56247|76230|56208|55221|48267|59251|52252|51208|65144|43159|35129|2655|943|1322|529|21|43|00
ThoruwewaMamineeyawa|614613|548593|5764|5150|4428|2733|3847|3842|5639|4535|1936|3738|3153|3042|3835|1220|1216|79|36|10|10|10
Maminiya RambewaGanewalpola|611610|1,1551,531|139200|117169|99154|99118|87136|104118|103124|76102|6893|7186|5792|5552|4550|1815|814|54|23|01|20|00
HeenukkiriyawaEmbulgaswewa|609632|1,040652|9759|9060|9647|8652|6950|7445|8956|7945|6545|7051|6745|6729|4327|1715|1511|69|73|32|01|00
OlukaradaKollankuttigama|618612|6971,573|49182|52162|74156|54121|39119|4599|53142|61122|55103|52107|3690|3357|3448|2122|1820|1111|53|23|03|33
MudaperumagamaIhalagama|619621|776646|7182|5749|5750|5647|5945|5959|8058|7946|5640|4159|4133|4123|3127|2410|911|104|51|01|01|00
ShasthrawelliyaRailway Town|622620|4771,069|46106|3587|3270|3486|2884|3481|38104|3283|2888|2763|3159|3545|2647|1529|2018|58|64|33|12|12
Maradankadawala RoadMaldenipura|627631|1,2771,221|91114|109107|124103|137108|9987|8390|87111|10890|9071|10176|7665|6664|4756|3737|1024|410|45|22|10|11
MankadawalaMedawewa|630633|616602|5257|5546|4134|4545|2841|4748|5057|4355|4036|3632|4550|4135|4022|2311|1011|119|77|22|02|02
PothanegamaKuda Kekirawa|634629|1,7271,526|181116|158120|127119|143141|119117|135105|149115|144108|121104|107106|105107|7399|7070|3937|2823|1229|66|72|00|32
Kekirawa TownMalawa|628626|1,3561,462|104123|89111|78140|115138|145101|146104|153129|102115|110101|77106|6575|4964|5959|3034|1834|1114|16|15|10|23
NeekiniyawaMailagaswewa|625624|1,183734|9057|10161|10962|11973|9045|9360|9149|7257|8646|8549|7946|4642|5129|2819|1616|911|95|15|30|52
KarukkankulamaOlombewa|623638|5621,937|55214|57196|34167|41181|32148|46160|64163|49138|39137|29116|35102|3484|2257|1125|923|312|18|13|01|02
Maha KekirawaKumbukwewa|637635|2,783979|22980|25282|25855|24458|19585|21097|28188|19475|19944|16753|17274|12069|11247|5123|3719|2610|144|126|33|77
RathmallewaMedagama|636640|661693|8251|4744|5357|4360|3857|6758|5760|4952|4359|5151|4046|3734|2030|1612|109|58|35|00|00|00
KorasagallaUnagollewa|639643|674838|6395|5157|4058|5375|3881|5474|5166|6445|4453|3655|4563|4442|3833|2116|1011|125|78|21|10|00
HorapolaDambewatana|644657|1,3491,220|145121|12096|124103|12284|10293|10997|130114|10698|8781|7377|6880|5968|4366|3121|126|58|46|10|10|71
UduruwaNidigama|656645|1,0631,706|99224|85179|73151|73117|7599|95148|92170|62117|65106|8196|7290|7372|5756|2439|1821|810|56|32|10|23
Maha ElagamuwaPallehingura|641642|1,732667|15847|15257|13146|11845|13149|13866|13061|13055|11646|12745|12849|9636|7130|4218|2811|204|92|40|20|10
NelbegamaMurungahitikanda|649647|5331,272|55133|35133|3698|4681|4191|4999|31123|38110|4170|3773|3578|3465|2551|823|516|911|711|03|11|02
BaravilaBandarapothana|646655|4501,352|43188|36140|35141|47115|2971|34111|44126|3687|3573|2176|3466|2169|1435|1226|316|55|03|03|01|10
KotagalaMadatugama|648650|1,0671,758|98169|72172|82144|90109|67123|112124|90152|83126|66122|73121|63117|65100|3884|2539|1523|1315|411|44|30|43
DunumadalawaKandalama West|654653|1,1161,204|111107|97114|7979|64102|77100|9686|94100|8196|6872|7770|7687|7475|5944|2228|1511|1515|77|17|12|22
KithulhitiyawaKandalama East|652651|1,3401,805|125149|97154|91134|113159|110125|108116|130159|100141|77124|96109|79117|74105|6495|3241|2430|421|610|69|25|22
PalugaswewaMaithrigama|600|15,582418|1,46050|1,32540|1,20128|1,17428|1,16426|1,32646|1,36037|1,21335|1,16120|1,00614|94128|76021|61926|3347|2505|1566|790|251|100|180
Maha RambawewaMadawala|599598|664965|7493|5692|5560|5460|4656|5678|5685|5587|3968|4265|4858|2751|2152|1226|819|1010|55|00|00|00
EppawalaGalapitagala|597604|821449|8735|6139|6846|6822|6821|7031|6745|6442|6525|5726|4627|4029|2728|1513|811|74|12|13|10|00
KumbukwewaSenadhiriyagama|596602|736811|7173|7069|5158|5459|3850|5866|8682|5966|4453|4355|5053|4540|2833|1317|1314|812|38|01|02|20
HorivilaPalugaswewa|603601|1,1281,005|9492|10679|8588|9075|7476|7771|9788|10384|8380|7670|6255|5842|5034|2229|2320|1612|84|32|01|13
Kuda RambawewaHabarana|595589|7273,466|62280|53292|56226|64253|50348|52351|48295|60254|72280|56232|47199|37177|25115|1665|1641|1020|119|15|04|110
DemuththewaKelewa|594593|432925|4097|3677|3385|2687|2160|2968|3673|3659|3865|3364|2556|2440|2035|1522|1118|512|45|02|00|00
WayaulpathaHiriwadunna|592591|8911,016|9390|7382|8192|7079|7573|7090|7975|7370|6571|5466|5080|2945|4043|1522|1418|512|26|11|11|10
KashyapagamaIpalogama|590|1,12838,862|1294,114|1003,495|892,974|853,049|822,639|1132,852|1113,541|663,040|932,582|532,566|572,373|552,009|421,539|25806|11550|7365|6235|486|032|015
Dikwewa ‐ SenapuraGalagedara Gama|500512|1,737311|18024|13319|10214|12220|13424|13926|17426|12317|9217|11120|12628|10925|8822|5410|155|169|94|51|40|10
Senapura GamaMahailuppallama|504499|6131,323|47146|34104|5193|6095|3397|44110|43137|3596|49104|4791|5295|3656|3544|2119|1121|46|43|43|10|23
Gonapathirawa|509|1,640|163|131|130|143|111|96|128|160|136|92|106|99|60|35|25|9|11|5|0|0
SangattewaKadiyangalla|498510|1,6051,470|169128|126128|113123|114147|11299|138101|158126|130122|90105|110116|12689|8975|5943|1928|2813|1613|411|11|12|20
IpalogamaManewa|501502|1,272820|9172|7173|7457|9458|14743|10344|13774|11763|11359|10267|7153|3539|5346|1825|2222|911|1313|11|00|10
Heenukwe GamaDampelessa Gama|518517|497813|4274|4265|3763|4370|3868|3656|4548|4268|4364|3072|3355|2033|1932|1115|814|78|06|11|01|00
Ihala Kagama Kunchikulama|519514|7344,790|75762|77678|43449|50283|45222|60404|83543|58399|44283|45194|41145|31146|31115|2173|1247|1220|522|12|02|01
Hiripitiya GamaAswedduma|515506|1,822819|19460|14055|12461|15476|13744|10953|17454|13956|13868|12758|10558|10062|6756|4417|3015|2414|1110|31|21|00
Ganthiriya GamaGalwanguwa|503507|1,1491,169|108107|9081|8566|92115|85102|7680|9995|7391|5892|9886|9970|6163|4653|2121|2515|1518|98|75|11|10
WedinigamaNarangalle Gama|511505|966892|10268|8978|7378|7679|4843|6043|10373|8172|6968|6574|5756|4056|3834|2724|2419|814|35|25|13|00
Kallanchiya GamaAluth Dambewatana|508513|1,405476|18835|15334|13431|8937|9033|9926|13333|11335|9436|8126|6939|6941|4024|2125|158|97|30|34|12|10
Kagama 5 Ela2 Ela ‐ Kagama|497496|983732|10471|7455|7244|5949|7148|7939|10061|7158|5249|7253|6052|7153|5141|1921|1120|68|96|14|10|00
Akkara 500Amunuwetiya|495492|9141,052|93123|55114|6896|75105|6048|6974|7087|8075|5955|7063|6162|5358|3839|2023|1412|1813|54|61|00|00
PuliyankulamaVijithapura|516493|1,6981,248|163137|132111|120113|13796|11899|14296|142123|122107|10967|11076|12073|9857|7435|4225|2414|239|197|12|11|10
AmanakkattuwaKalawewa|494490|265949|2586|1893|1375|2791|2070|2257|1963|1573|863|2170|2170|2457|1344|612|513|27|43|21|01|00
Kusalana GamaPalugaswewa Farm|491489|1,5291,297|176136|175106|125101|138113|98100|112124|13695|10295|10564|9388|6885|8287|6550|2818|117|99|49|24|04|02
WalawwegamaGalnewa|488|1,87234,756|1653,538|1613,052|1462,591|1422,421|1522,454|1352,898|1593,163|1522,626|1292,326|1382,243|1282,239|841,956|841,449|43728|25504|12296|11167|561|118|026
NamalgamuwaObadayagama|487A486|1,2161,332|132132|91100|7883|6873|88105|112125|128131|7987|6682|7779|9888|92109|5466|2636|1318|66|69|12|00|11
OtunupelandigamaKaruwalagaswewa|484481|1,5582,079|200220|136188|103176|114143|117165|153129|169180|95194|88156|81130|94144|8680|5285|3241|1516|1220|66|44|02|10
Usgala HalmillawewaHelabodu Gama|482478|1,2271,764|133149|112155|89143|86124|108114|104123|121132|81170|64129|88111|8797|65116|3792|1943|1132|1315|411|14|11|33
KattaragamaBulnewa|470479|1,1731,808|107195|107162|94113|86152|82102|81152|103201|107143|90117|83102|6991|77102|3994|1934|1425|1112|18|21|12|00
Thorane GamaMidellewa|480483|1,2941,759|131175|113151|83126|77132|94122|123152|110143|96149|82118|90118|82121|7184|5871|3844|1828|1313|99|41|12|10
Ihala Kalankuttiya Pahala Kalankuttiya|485487|1,4471,377|147144|108115|99124|10098|11279|12898|143132|111123|101110|8082|10272|8655|6172|3525|1722|814|57|22|11|12
SiyambalewaLolugaswewa|468469|7961,112|68116|4995|5396|6082|7562|73110|5597|5578|5662|6161|4985|5180|3242|2416|1415|88|92|32|00|13
Pitiye YayaGalnewa Gama|471472|1,2081,110|13191|11584|9778|9564|10299|96101|124108|9995|8480|7473|5880|4362|4043|1919|139|1113|56|12|10|03
Galnewa TownMalbaligala|477475|7101,647|60169|59160|49115|35101|61111|79148|77162|57129|51103|47104|3792|3994|2867|943|1220|714|211|14|00|00
HadungamaMusnawa|476473|1,105606|9055|9251|10045|7143|6833|11042|10346|7840|7652|7148|8745|6433|3336|2211|2617|86|11|21|10|21
Kala ‐ MedawachchiyaKumbukwewa|466467|1,173249|10918|9219|8413|8213|9018|12819|10024|9014|7616|8821|8415|5323|4712|208|108|95|72|11|10|20
KallanchiyaNegama|465462|6181,282|75144|59166|32127|4790|5156|4369|57102|33104|3479|3986|3869|3767|3151|1331|1422|1011|47|10|00|01
VerunkulamaWalaswewa|461474|1,1272,060|155194|137186|102150|78172|59149|68184|86161|76120|73145|85150|67146|59101|2983|1946|2040|918|510|05|00|00
Kande GamaKandule Gama|459460|554244|5430|3925|4412|3711|3615|4121|4519|3420|4114|3315|4417|4415|2718|126|114|42|40|40|00|00
KandulugamuwaSiyambalangamuwa South|464463|530591|5460|4442|4439|4542|3942|4244|4460|3732|3447|2937|3348|3038|2722|711|137|55|28|14|03|00
PalagalaNelliyagama|688|34,0021,112|3,486120|2,928131|2,623102|2,583106|2,38477|2,68494|2,88779|2,39883|2,35065|2,21968|2,23258|1,91854|1,40643|74216|5437|3317|1642|790|250|200
Balaluwewa 2Balaluwewa|687686|946779|117108|9989|9169|8061|5748|6267|7369|6648|6043|6636|6647|4538|3127|915|116|62|63|02|01|10
PahalagamaKaravilagala|689690|640398|6338|6328|4233|5527|4528|6423|4532|4223|3132|4626|4924|4126|1729|1213|137|82|14|23|00|10
Gam Sabha Halmilla WewaGonadeniyagama|691692|1,180959|12696|10572|8369|8772|7381|8575|10593|8166|8862|9251|7164|6049|4150|3025|3313|1314|25|42|10|00
MeewewaAmbagaswewa|678667|431595|3959|3152|4454|4339|3649|3145|2859|2236|3645|2442|2539|3030|1922|106|56|45|36|10|00|01
WambatuwewaHinguruwewa|666679|665783|5479|6861|5455|4471|4240|5264|6268|5658|4661|3159|4352|3444|3618|1114|1817|615|44|21|11|11
KirindiwattaAluth Galkiriyagama|677680|8261,173|95118|5897|5077|5689|6279|65111|75101|5180|5774|4680|5086|6564|4643|1926|1431|69|64|23|21|10
Daniyagama|681|1,139|108|76|86|83|66|91|100|74|78|91|88|69|50|24|30|12|5|7|1|0
Undurawa Halmilla WewaKatukeliyawa|685683|6911,151|62130|43114|53120|5295|57109|5480|5696|3572|5577|4774|4974|4054|4725|1915|136|45|22|23|00|10
Aluth KadadugamaRanawa|684662|1,1591,611|154166|134145|126105|109116|81124|66140|105134|82132|64120|55102|64103|5686|3863|1138|1016|311|06|11|03|00
HinguruwelpitiyaAnakatawewa|663659|1,0691,571|118164|72124|76107|64127|88115|94168|92127|7497|6284|6598|80100|65106|5174|2539|2021|1211|76|42|01|00
GiranegamaDambulu Halmilla Wewa|658661|2,1851,319|211118|179116|161113|16790|16185|178102|203117|15796|151114|15386|14677|10970|9670|4122|3716|269|610|04|12|22
NarangaswewaUlpathagama|660682|1,1831,147|111108|8791|8485|7584|8083|9795|105103|8487|7086|8178|9078|7962|5139|4124|2017|1319|85|53|00|20
EllawewaAndiyagala|675670|971932|106103|8890|8267|6769|7751|7656|7761|7381|5786|5670|7171|6148|3423|2020|1112|812|36|25|01|20
ManeruwaIpulwehera|665664|693840|5977|5563|5553|5181|4059|3760|6479|5550|6470|5157|3858|3844|3329|1623|1416|1111|89|11|20|10
GambirigaswewaParawahagama|671669|634920|6983|6078|4467|5268|2747|4262|5963|4765|5464|3964|3773|3859|2941|1432|1016|720|58|06|02|12
KalugalaPelbendiyawa|668674|1,172674|12464|9756|8650|9550|10247|10457|10040|7649|6358|8346|9149|7334|4830|1715|717|39|13|10|10|00
Morotte GamaDembatagolla Gama|676672|907761|9678|8259|7245|5752|5751|6365|8081|8650|5449|5645|4636|5747|3541|3029|2116|86|44|23|13|01
BudugehinnaPolonnaruwa|673|786406,088|6538,847|6535,528|6331,715|4932,028|6029,959|5932,538|5635,082|6430,098|7028,062|5526,998|3924,399|4320,897|3716,321|2110,100|166,229|143,948|62,053|4838|0278|0170
HingurakgodaSinhagama|31|64,2891,410|5,918166|5,379122|4,674131|4,569109|4,618110|5,167104|5,770139|4,98191|4,49891|4,37992|4,00264|3,45466|2,75158|1,65838|1,04312|7308|4487|1731|431|340
GaloyaRotawewa|3234|1,4681,348|147138|133116|9191|107115|127144|139124|135129|9884|11294|9987|9070|6355|5745|2821|1713|1414|63|21|20|14
RathmalePaluwaddana|3335|844778|6984|7458|6266|7551|9154|6161|6776|6278|6241|5137|5041|4739|2634|1926|1014|1011|56|20|10|01
Yodha ElaYatiyalpathana|6361|1,8191,483|197120|150124|11286|9390|13589|136118|168127|164112|123116|10198|9491|105100|10079|6154|4440|1522|1711|15|20|11
RankothgamaSiriketha|6273|1,2541,058|11299|12286|9578|8996|7970|8072|8966|11799|9670|10084|7970|6559|4242|3417|2221|1611|1015|51|12|10
KumaragamaSamapura|7280|9631,794|96164|77170|78134|67103|64103|80144|90175|71163|55114|56138|72122|5677|4566|2043|1535|1025|411|55|10|12
KimbulawalaUlpathwewa|6867|1,2401,187|118118|98105|9697|9480|11797|10193|96106|89103|8678|9071|6663|6667|4242|3328|2020|1612|74|41|12|00
MinihirigamaMoragaswewa|6029|9232,202|90196|86202|68189|75149|68156|74184|91199|76172|62180|63133|52140|44101|2885|1948|1532|716|317|22|01|00
MahasengamaBathgampattuwa|3058|8631,504|69150|71133|67112|63100|67116|67124|80143|65105|53102|62103|65106|5170|3452|2737|1222|416|38|33|01|01
SamagipuraMinneriya|5756|1,888758|17967|15259|14843|13750|17164|17170|13784|13160|12553|13746|10743|8632|8233|6227|2811|2611|42|52|00|01
PasiyawewaAkkara 70|6564|1,2381,485|123127|115115|95102|94114|83100|89117|124138|77117|97108|69105|7497|6466|6274|2641|2033|1516|510|63|01|01
R.B. 01Pulathisigama|7675|1,7701,049|15083|12460|12278|14671|12160|14296|12978|11884|12374|14885|12972|11773|7957|4732|3924|1510|178|23|11|10
UlkatupothaBopura|7779|2,3831,498|226133|196133|179121|157102|13065|180112|240155|222120|164107|15097|12282|12679|13864|6657|3434|2623|1511|93|10|20
Jayapura Hinguraka Bandaragama|7871|1,1301,008|12785|9072|5370|6379|5961|9879|17981|10575|6973|7664|4867|4075|4556|4324|1717|1222|57|11|00|00
HingurakaHathamuna|6970|8181,457|67104|55129|43107|60129|6484|65107|65105|55122|45106|51108|6488|61103|6063|2439|1517|1325|513|45|11|12
HingurakgodaBubula|7466|776828|6177|4766|4059|5047|6665|7179|6178|7466|5947|5149|5058|4549|3941|2416|158|412|105|63|33|00
Raja ElaRaja Ela Gama|3837|1,3651,028|141109|11485|11370|9367|10185|11186|110105|10156|10269|10263|7773|6154|4838|3833|1715|1510|128|62|10|20
MuwanpelessaC.P. Pura|5954|9651,361|8598|8694|7871|6777|71135|66118|91135|95108|74135|61122|46105|5070|3939|2324|1815|48|73|11|21|12
GirithaleGirithale Puranagama|3639|1,030715|8956|8868|8546|7741|7246|8252|9467|7664|7262|7241|6452|5332|3843|2815|2113|910|65|32|00|10
Girithale ColonyHenkolawela|4043|1,3611,117|13597|11799|9376|9788|9587|10179|134110|10090|8181|9770|7473|7762|7036|4230|1711|1313|1210|45|10|10
JayanthipuraUnagalavehera West|4851|1,4961,562|116134|121132|113121|105137|10490|118115|130129|97125|120103|114103|105113|8494|6974|2535|2328|297|1613|67|02|10
Unagalavehera EastChandana Pokuna|5253|8471,253|78104|7496|67105|6390|6184|72103|6399|6892|5784|5292|49101|4681|3944|2332|1914|611|612|47|02|00
NagapokunaTrack 12 Pedesa|4950|9631,167|95111|77104|5485|6594|8657|8684|85104|7095|6090|5979|5668|4272|5040|3428|2122|1418|610|15|21|00
ChethiyagirigamaWeeragama|4744|873772|7261|8857|6565|6162|5049|6558|6268|7436|6459|6560|6061|5045|3726|1325|1317|178|1412|12|00|21
Track 05 PedesaWijayaraja Wewa|4542|8611,275|67103|75115|7293|6584|51110|5498|80130|6794|6771|6390|5288|4676|4442|1736|1122|1114|112|66|21|00
Agbopura|41|1,414|129|118|110|109|92|120|116|112|100|100|87|66|60|23|23|30|11|6|1|1
KatukeliyawaSudukanda ‐ Nikawewa|5546|778845|7699|7578|5471|4961|6366|9186|5869|5854|4448|6157|4542|4242|2639|1817|117|46|33|00|00|00
ThambalawewaMedirigiriya|46A|1,01765,575|1216,221|785,664|545,053|624,674|834,610|845,332|1015,612|745,081|704,761|554,387|753,989|623,236|402,601|181,786|91,175|16764|12410|2143|055|121
WedikachchiyaJayathugama|97105|1,6111,310|179141|151111|11790|12378|150102|144110|144143|8983|12188|12381|8671|9172|4767|1936|1020|711|83|23|00|00
EkamuthugamaMeegaswewa|104121|1,1821,695|103192|116145|100132|83132|70130|86147|97178|98136|90108|6994|5484|6777|6358|4345|2520|1011|75|01|10|00
PalliyagodellaWadigawewa|122120|5791,229|70131|5692|6098|5181|66132|42135|31101|2780|4061|4083|3383|3166|1437|921|417|37|22|02|00|00
